ontology_curie	biosample_name	biosample_type	biosample_life_stage	gtex_tissue	available_outputs	track_filters	total_tracks
CL:0000897	CD4-positive, alpha-beta memory T cell	primary_cell	adult		chip_histone,dnase,rna_seq,splice_junctions,splice_site_usage	DNase-seq|Histone ChIP-seq H3K27ac|Histone ChIP-seq H3K36me3|Histone ChIP-seq H3K4me1|Histone ChIP-seq H3K4me3|polyA plus RNA-seq|total RNA-seq	14
CL:0000899	T-helper 17 cell	primary_cell	adult		atac,dnase,rna_seq	ATAC-seq|DNase-seq|total RNA-seq	4
CL:0000900	naive thymus-derived CD8-positive, alpha-beta T cell	primary_cell	adult		atac,dnase,rna_seq,splice_junctions,splice_site_usage	ATAC-seq|DNase-seq|polyA plus RNA-seq|total RNA-seq	11
CL:0000904	central memory CD4-positive, alpha-beta T cell	primary_cell	adult		dnase	DNase-seq	1
CL:0000905	effector memory CD4-positive, alpha-beta T cell	primary_cell	adult		chip_histone,dnase	DNase-seq|Histone ChIP-seq H3K27ac|Histone ChIP-seq H3K36me3|Histone ChIP-seq H3K4me3	4
CL:0000907	central memory CD8-positive, alpha-beta T cell	primary_cell	adult		atac,dnase	ATAC-seq|DNase-seq	2
CL:0000909	CD8-positive, alpha-beta memory T cell	primary_cell	adult		chip_histone,dnase,rna_seq,splice_junctions,splice_site_usage	DNase-seq|Histone ChIP-seq H3K27ac|Histone ChIP-seq H3K36me3|Histone ChIP-seq H3K4me1|Histone ChIP-seq H3K4me3|polyA plus RNA-seq|total RNA-seq	14
CL:0000913	effector memory CD8-positive, alpha-beta T cell	primary_cell	adult		atac,dnase	ATAC-seq|DNase-seq	2
CL:0001016	immature CD1a-positive Langerhans cell	primary_cell			cage	hCAGE CL:0001016	2
CL:0001042	T-helper 22 cell	primary_cell	adult		dnase	DNase-seq	1
CL:0001044	effector CD4-positive, alpha-beta T cell	primary_cell	adult		dnase	DNase-seq	1
CL:0001053	IgD-negative memory B cell	primary_cell	unknown		rna_seq,splice_junctions,splice_site_usage	polyA plus RNA-seq	4
